"accession","description","I_mean","VC_mean","I_SD","VC_SD","p.val","q.val","p.adj","IvsVC.FC","direction","negLog10P"
"5NTC","Cytosolic purine 5'-nucleotidase ",0.157670017760275,0.122723169206818,0.0113582106712512,0.0298446924831512,0.130913130519354,0.234143765349329,0.404676360372953,0.361500701346747,"NS",0.883016791752446
"6PGD","6-phosphogluconate dehydrogenase, decarboxylating ",1.46774427121851,1.70327304990216,0.103484391374384,0.150842247934576,0.0896000908038328,0.1948975440385,0.33684616222626,-0.214709104787784,"NS",1.04769155020859
"6PGL","6-phosphogluconolactonase ",1.28985523700088,0.895566579326835,0.281291743220426,0.0205257114678298,0.0726537503184997,0.182731489518238,0.315819274510445,0.526336562278232,"NS",1.13874196291321
"A16A1","Aldehyde dehydrogenase family 16 member A1 ",0.0240067923850088,0.0302937201020665,0.00744914147828648,0.00329472404154481,0.252226965468269,0.302985306054042,0.523656868324068,-0.335576099639632,"NS",0.598208485058565
"A16L1","Autophagy-related protein 16-1 ",0.0384760056069553,0.0487935443965797,0.01428002809132,0.0105332690042213,0.37086434217261,0.358811770148896,0.620143103046959,-0.342731252177587,"NS",0.43078492116619
"A2MG","Alpha-2-macroglobulin-P ",0.174705649810015,0.382109314391526,0.0489988468442717,0.0539153728785454,0.00786806891708201,0.0860042992311331,0.14864332064258,-1.12905916125951,"Down",2.10413184471389
"A4","Amyloid-beta A4 protein ",0.194349994368694,0.147324898056724,0.0254686985789774,0.0280676465790297,0.0980866795832801,0.204295660772343,0.353089155792788,0.399655797975632,"NS",1.00838996689393
"AACS","Acetoacetyl-CoA synthetase ",0.331405489144653,0.308472193993147,0.0630465397752367,0.0572205418764765,0.665106888761863,0.471482580028637,0.814874802156611,0.103457049251433,"NS",0.177108553991484
"AAK1","AP2-associated protein kinase 1 ",0.031343150591764,0.0321176039807167,0.0140712818135853,0.0229378661226666,0.96263377909978,0.570853321974146,0.986619670605588,-0.0352140639473719,"NS",0.0165389028713693
"AAKB1","5'-AMP-activated protein kinase subunit beta-1 ",0.00568679060254539,0.00786769011782144,0.00211169798127855,0.00444565113567762,0.485578555702497,0.405967765086754,0.701643955195412,-0.468325453025868,"NS",0.313740500980813
"AAKB2","5'-AMP-activated protein kinase subunit beta-2 ",0.0545298703821519,0.0657213762391861,0.0135818403397161,0.00981905369101284,0.311801492014083,0.333466171535059,0.576337688953533,-0.26931596520934,"NS",0.506121810981901
"AAKG1","5'-AMP-activated protein kinase subunit gamma-1 ",0.0138726057828471,0.0385315949997164,0.00202733197417771,0.00790837982876028,0.00637707984028199,0.0843175574098024,0.145728083757555,-1.47380310298809,"Down",2.19537814566339
"AAMDC","Mth938 domain-containing protein ",0.26727859793257,0.169555207480895,0.0201033501987862,0.0268238285042209,0.00723404779430817,0.0855514225711133,0.14786060290418,0.656589225881582,"Up",2.14061862624405
"AAPK1","5'-AMP-activated protein kinase catalytic subunit alpha-1 ",0.1938691429733,0.201375010019113,0.0278613998914047,0.0158979685167474,0.706012954612112,0.48637941736834,0.840621368189258,-0.0548014643936006,"NS",0.151187330017688
"AASD1","Alanyl-tRNA editing protein Aarsd1 ",0.0391408375584183,0.0417610602833512,0.00299825788796766,0.00630727058202181,0.551219129518432,0.427969109096325,0.739669412776241,-0.0934837134415296,"NS",0.258675719075509
"AATC","Aspartate aminotransferase, cytoplasmic ",1.38778984386131,1.04279617598763,0.315577922111045,0.108087028754093,0.147719716357434,0.243917355176588,0.421568293212473,0.412331916375955,"NS",0.830561534926552
"AATM","Aspartate aminotransferase, mitochondrial ",2.09450175808368,2.41034303571108,0.420689995804688,0.245621842109713,0.324290227613903,0.338507022135336,0.585049913560754,-0.20263138767092,"NS",0.489066138460249
"ABCB6","ATP-binding cassette sub-family B member 6 ",0.0734125737845009,0.151017244743686,0.0239355254385021,0.0774572311658155,0.172659059297039,0.258983645730728,0.447607729354088,-1.04061421327094,"NS",0.762810629596633
"ABCB7","Iron-sulfur clusters transporter ABCB7, mitochondrial ",0.0114554746239486,0.0108716128158752,0.00500537196258429,0.00488100055088893,0.891983829124042,0.550171803264087,0.950875299167445,0.0754712520538861,"NS",0.0496430189264054
"ABCD1","ATP-binding cassette sub-family D member 1 ",0.0112054883353948,0.0262692190939258,0.00360237440367259,0.0226782851585366,0.319310603048596,0.337115824333878,0.582645472588291,-1.22916779116302,"NS",0.495786660010379
"ABCD3","ATP-binding cassette sub-family D member 3 ",0.037569628093709,0.0610364623356222,0.00830549345151471,0.00977625879361491,0.03390556721168,0.135868487497037,0.234824809140863,-0.700104511565544,"Down",1.46972898584405
"ABCE1","ATP-binding cassette sub-family E member 1 ",0.219913347747801,0.277525894788241,0.0500810900346645,0.0337915300876112,0.173939089121452,0.260465896011776,0.45016953854,-0.33568721769476,"NS",0.759602808554579
"ABCF1","ATP-binding cassette sub-family F member 1 ",0.178210807687723,0.169790944890236,0.0373711356796476,0.0550729431517762,0.837283462441142,0.530536902570844,0.91693982308517,0.0698253118411868,"NS",0.0771274866508785
"ABCF2","ATP-binding cassette sub-family F member 2 ",0.159003411466009,0.262983942161714,0.0177611098584138,0.043595247564053,0.0186844395189654,0.109891003445574,0.189927292088001,-0.725916991737322,"Down",1.72851992524123
"ABCF3","ATP-binding cassette sub-family F member 3 ",0.0149005305423773,0.0182942299930248,0.00934903892761669,0.00868872869245795,0.669047684750236,0.472439965627382,0.816529474955589,-0.296024994068017,"NS",0.174542927843715
"ABCG2","Broad substrate specificity ATP-binding cassette transporter ABCG2 ",0.0235744287029118,0.0408799887094863,0.0104688335898545,0.011538114631206,0.126696985687723,0.231252536991218,0.399679380132109,-0.794171988426131,"NS",0.897233717514041
"ABD12","Lysophosphatidylserine lipase ABHD12 ",0.0370830866081444,0.0466450818445219,0.013105515218946,0.0063588810359096,0.319042487842362,0.337115824333878,0.582645472588291,-0.330963642900934,"NS",0.496151476796231
"ABEC2","C->U-editing enzyme APOBEC-2 ",0.284952769721481,0.699844666865483,0.126914189705103,0.098908030669727,0.0111078845108442,0.0930854244630927,0.160881801483354,-1.29631193039723,"Down",1.95436864427682
"ABHD6","Monoacylglycerol lipase ABHD6 ",0.0724037204642587,0.0581104818076184,0.0288525506076419,0.0282312051935365,0.572840585007385,0.436406712670391,0.754252328104047,0.31726541564512,"NS",0.241966220413266
"ABHGA","Phosphatidylserine lipase ABHD16A ",0.00196639099465781,0.0065178219596324,0.000366320165158276,0.00781505629611846,0.370638878650549,0.358811770148896,0.620143103046959,-1.72883973022855,"NS",0.431049026739219
"ABI1","Abl interactor 1 ",0.0682966697282071,0.0883666730583028,0.00792166863472952,0.00266650692178465,0.0141571595956566,0.100173519874257,0.173132329054254,-0.371687136967811,"Down",1.84902387204685
"ABLM1","Actin-binding LIM protein 1 ",0.319990465020688,0.263033136655228,0.0209397546328661,0.0703887171028378,0.250305828032102,0.302496530275592,0.52281210526678,0.28278435649593,"NS",0.601529038315406
"ABR","Active breakpoint cluster region-related protein ",0.135284601664276,0.177060560378747,0.0237915497490669,0.0417986768873261,0.206904390350617,0.281921593607146,0.487251942161567,-0.388245254069729,"NS",0.684230293844575
"ABRAL","Costars family protein ABRACL ",0.477337410342948,0.411049004620526,0.110062651473382,0.0668430497912037,0.422981931904048,0.376938760670057,0.651472421329999,0.21569900908282,"NS",0.373678183551581
"ABRX2","BRISC complex subunit Abraxas 2 ",0.0265719888318636,0.038644783499637,0.00740584966030597,0.0147192219486429,0.273238294859192,0.316907762965146,0.547719388980251,-0.540367470655074,"NS",0.563458433539086
"ACACA","Acetyl-CoA carboxylase 1 ",0.0926640113429401,0.123278081521921,0.0145041220959599,0.0143695679642911,0.0602313309380782,0.169042254193273,0.292159836389892,-0.411835273806658,"NS",1.22017754007238
"ACAD8","Isobutyryl-CoA dehydrogenase, mitochondrial ",0.112032577397612,0.0958864796953936,0.030389065822384,0.0077321815656477,0.422877652303084,0.376938760670057,0.651472421329999,0.224518997408638,"NS",0.373785265285591
"ACAD9","Complex I assembly factor ACAD9, mitochondrial ",0.380735275476298,0.30809274407236,0.0987761039126741,0.00598651225222743,0.272465726511678,0.31667024624624,0.547308883062269,0.305423537425409,"NS",0.564688119893738
"ACADL","Long-chain specific acyl-CoA dehydrogenase, mitochondrial ",2.89702430888243,3.11825004892318,0.606690864107794,0.165442668867242,0.575217503050687,0.43728434647077,0.755769163931589,-0.106164830459071,"NS",0.240167907460574
"ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial ",0.633913954730249,0.659886499096882,0.0494420501657618,0.025318633914347,0.463447244956742,0.397137562546338,0.686382501532188,-0.057930874072634,"NS",0.333999695237161
"ACADS","Short-chain specific acyl-CoA dehydrogenase, mitochondrial ",0.832287831608111,0.868372519974419,0.0490387041455692,0.15647710509551,0.722475820234216,0.493530319423469,0.852980446009398,-0.0612315274662683,"NS",0.141176683262871
"ACADV","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial ",1.07515438200123,0.939325623152497,0.067836817303785,0.033953943458168,0.036176218055571,0.138867347784512,0.240007812261154,0.19484656302011,"Up",1.44157683723982
"ACBP","Acyl-CoA-binding protein ",5.59092783420724,4.3702241197716,1.27700558253025,0.651653639455684,0.214296157543435,0.284820421318877,0.492262056549969,0.355380455400508,"NS",0.668985616044704
"ACDSB","Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial ",0.119939714423883,0.132431492308083,0.0250363594123164,0.0168294857720232,0.512891036439281,0.415005350750771,0.717263834151475,-0.142936794037094,"NS",0.289974890832813
"ACHB","Acetylcholine receptor subunit beta ",0.0461684444600327,0.0719638581201599,0.00842271966241368,0.00213115655806243,0.00677946849918655,0.0855514225711133,0.14786060290418,-0.640365409403149,"Down",2.16880435287607
"ACHG","Acetylcholine receptor subunit gamma ",0.0898775090104374,0.0344880208406023,0.0550148205838533,0.0219518807677054,0.180617281799334,0.265008031047988,0.458019820916875,1.38186480079802,"NS",0.743240697926102
"ACINU","Apoptotic chromatin condensation inducer in the nucleus ",0.0363689198243865,0.0344165931972902,0.00318929315237167,0.000568801669926998,0.355503878506007,0.351376378561181,0.607292335053307,0.0796017815639471,"NS",0.449155656806034
"ACL6A","Actin-like protein 6A ",0.0831002257871845,0.0876868701195469,0.018956599068023,0.0062345745409813,0.710889396810013,0.48856895550269,0.844405600162228,-0.0775084385984423,"NS",0.148197963393431
"ACLY","ATP-citrate synthase ",0.366729724899859,0.467895206916774,0.0199230583795882,0.0934532837158251,0.140609511284083,0.239791200994185,0.414436960655396,-0.35146824296624,"NS",0.851985301233102
"ACO13","Acyl-coenzyme A thioesterase 13 ",0.521328659759474,0.415590089746256,0.0449979341248346,0.0332908723164617,0.0307325551430124,0.130592559565024,0.225706294667792,0.327031921663739,"Up",1.51240133045696
"ACOC","Cytoplasmic aconitate hydratase ",0.191390167233028,0.201479557223555,0.0479135469414448,0.0241233046427635,0.760930219492132,0.506614888923081,0.875594825487963,-0.0741167530720722,"NS",0.118655168037614
"ACOD1","Acyl-CoA desaturase 1 ",0.389176391686241,0.330095456574385,0.00657778095519631,0.0403029512589637,0.066347512670472,0.176863784573166,0.30567797744293,0.237540914174249,"NS",1.17817535394102
"ACON","Aconitate hydratase, mitochondrial ",3.87888917162971,3.86740854857575,0.551861925257268,0.695646069915595,0.983206237635363,0.57446469287486,0.992861290705432,0.00427637838661894,"NS",0.00735537487137333
"ACOT2","Acyl-coenzyme A thioesterase 2, mitochondrial ",0.189919029671121,0.168129326222547,0.0108463776590931,0.0109610681732231,0.0706380063710886,0.180586665997091,0.312112323890235,0.175813078256754,"NS",1.15096156642728
"ACOT8","Acyl-coenzyme A thioesterase 8 ",0.0493866223621949,0.0474363454749079,0.0077774905504972,0.00203872393969746,0.695974787021187,0.481694952790986,0.832525094207197,0.0581274355876296,"NS",0.157406493228386
"ACOT9","Acyl-coenzyme A thioesterase 9, mitochondrial ",0.744780100384506,1.3982533895833,0.152556344322545,0.117350044641571,0.00417867781373061,0.0821848030458432,0.142041992555046,-0.908739396171294,"Down",2.37896111273123
"ACOX3","Peroxisomal acyl-coenzyme A oxidase 3 ",0.0750511419873314,0.0849014070439814,0.0313274359879405,0.0108504256976471,0.633951271547791,0.460775533975333,0.79636955423454,-0.177914439065206,"NS",0.197944122735317
"ACPM","Acyl carrier protein, mitochondrial ",0.654445275371464,0.816525122800025,0.707268266974761,0.0484159812573739,0.712322722143886,0.488839596491468,0.844873355560895,-0.31922471598843,"NS",0.147323202020284
"ACSF2","Medium-chain acyl-CoA ligase ACSF2, mitochondrial ",0.00771299050290804,0.0168616548816662,0.0040129082158132,0.0139667585413718,0.336808933677545,0.343538555238673,0.593746034511558,-1.12838389646721,"NS",0.472616397589832
"ACSL1","Long-chain-fatty-acid--CoA ligase 1 ",0.157867260904284,0.183782086753544,0.0354424597541409,0.0525183786896685,0.517775552466406,0.415895741256951,0.718802717703698,-0.219284143152463,"NS",0.285858459269225
"ACSL3","Long-chain-fatty-acid--CoA ligase 3 ",0.644309536694482,0.871637722439542,0.129597317067379,0.070095991928769,0.05566912657152,0.165317214939185,0.285721760512272,-0.435974685418896,"NS",1.2543855925631
"ACSL4","Long-chain-fatty-acid--CoA ligase 4 ",0.312137778530504,0.505795038015822,0.0600948246064499,0.0548190607048951,0.0145692777333243,0.101584626501843,0.175571178934787,-0.696369904353375,"Down",1.83656197768827
"ACTA","Actin, aortic smooth muscle ",23.1677489070902,19.2212713862421,3.76954207173789,1.02207417704926,0.154987643477787,0.247448714884021,0.427671628022349,0.269414105662409,"NS",0.80970292494794
"ACTB","Actin, cytoplasmic 1 ",72.5498928253233,63.7078828834144,10.6892269906214,0.111113224575721,0.22523452798527,0.290172210320714,0.501511683553774,0.187501587927849,"NS",0.647365032275221
"ACTN1","Alpha-actinin-1 ",1.91671140185855,1.97582254871038,0.342374888614411,0.191527615449297,0.806994218955802,0.522291399599045,0.902688919897148,-0.0438202547624501,"NS",0.0931295764112478
"ACTN2","Alpha-actinin-2 ",0.0573366195473146,0.0289323127193403,0.0282129339819091,0.00293437594443761,0.157860134872285,0.250244194062935,0.432503122629662,0.986775198215591,"NS",0.801727530478682
"ACTN3","Alpha-actinin-3 ",0.487262066869196,0.267472478659894,0.10245049268405,0.0650512176959698,0.0349522864038051,0.137109183673686,0.23696913449732,0.865307459405727,"Up",1.45652440961565
"ACTN4","Alpha-actinin-4 ",1.61046448462955,1.65786910670353,0.229869712942231,0.0965352198431383,0.758430422419932,0.505516230244958,0.873695986992342,-0.041853261114507,"NS",0.120084254752122
"ACTS","Actin, alpha skeletal muscle ",41.0436009982618,34.0520866580523,6.6780584233293,1.81068971705744,0.154987643477791,0.247448714884021,0.427671628022349,0.269414105662406,"NS",0.80970292494793
"ACTY","Beta-centractin ",0.155862821692095,0.261290351680958,0.0108745371875776,0.0780319926308658,0.0813379278747946,0.191267653107876,0.330572533508604,-0.745377013379756,"NS",1.08970689566398
"ACTZ","Alpha-centractin ",0.356908401886464,0.612669934835246,0.0786970383993151,0.0663625428203363,0.0126128070189501,0.0970700741982751,0.167768568465122,-0.779556192699944,"Down",1.8991882490989
"ACY1","Aminoacylase-1 ",0.0194697393614945,0.0458574482308642,0.0132231498386444,0.0131128831011475,0.0701219165943058,0.180353360367375,0.311709096100048,-1.2359225063544,"NS",1.15414622214248
"ACYP1","Acylphosphatase-1 ",0.293430940564884,0.180371314303433,0.0725349041702266,0.0359365417542349,0.0728327537447445,0.182731489518238,0.315819274510445,0.702051087655091,"NS",1.1376732694287
"ACYP2","Acylphosphatase-2 ",0.260245299299331,0.19966736792684,0.0288904390874614,0.0297026920903718,0.0645120669623284,0.173945380101556,0.300634028064627,0.382273535718434,"NS",1.19035904311676
"ADA10","Disintegrin and metalloproteinase domain-containing protein 10 ",0.0347833433696201,0.0143843938079222,0.0219502840475633,0.00369077804659642,0.187623692919747,0.268748013239041,0.46448372303563,1.27389218712815,"NS",0.726712320250172
"ADAM9","Disintegrin and metalloproteinase domain-containing protein 9 ",0.0229981623617622,0.0413101126334788,0.00768530205883045,0.0128943132928424,0.102150635903364,0.206964137180327,0.357701148424379,-0.844976404653354,"NS",0.990758925473409
"ADAS","Alkyldihydroxyacetonephosphate synthase, peroxisomal ",0.184469547252833,0.163224667938847,0.0256713378541194,0.0476985186321228,0.534213637797796,0.421553113626161,0.728580491868347,0.176523565348044,"NS",0.27228502918487
"ADCY7","Adenylate cyclase type 7 ",0.0156849794883946,0.0178114287658617,0.0122197434070316,0.00852882844370032,0.816952200954333,0.523536660951973,0.904841135358722,-0.183419606116878,"NS",0.0878033528544285
"ADH7","All-trans-retinol dehydrogenase [NAD(+)] ADH7 ",0.0866878855423709,0.103808284186478,0.0110445650205271,0.00259766023295753,0.0591975501473006,0.168251734308879,0.290793561660597,-0.260019280404535,"NS",1.22769626590418
"ADHX","Alcohol dehydrogenase class-3 ",0.785514042522827,0.908725465947567,0.0830149037788716,0.0261155907109397,0.0702754630967426,0.180488212043942,0.311942163530145,-0.210207442625042,"NS",1.15319628382515
"ADIPO","Adiponectin ",1.90657196394469,1.66960853323214,0.246055607313971,0.126589720951764,0.212155479945624,0.284062759650203,0.490952571473501,0.191471107782958,"NS",0.673345745988297
"ADK","Adenosine kinase ",0.331232253933046,0.194211943796676,0.0470234471804851,0.0346796926493707,0.0153256798433797,0.103229495775853,0.17841404647859,0.770211235481313,"Up",1.81458025118608
"ADPGK","ADP-dependent glucokinase ",0.026273872253946,0.0164378641528549,0.00841287766294775,0.013212006106876,0.337887219037898,0.343926156034684,0.594415934387702,0.676605985913658,"NS",0.471228235589098
"ADPRH","[Protein ADP-ribosylarginine] hydrolase ",0.396805990044778,0.378247887901605,0.0328697173974753,0.0525088369287193,0.631231234917426,0.459645046495504,0.794415705247351,0.0691017777105301,"NS",0.199811519277951
"ADPRS","ADP-ribose glycohydrolase ARH3 ",0.00759643638087928,0.0267717289961467,0.00240446016969977,0.0292882456055891,0.321575258353885,0.338244478621225,0.584596153224357,-1.8173156261513,"NS",0.492717372777227
"ADRM1","Proteasomal ubiquitin receptor ADRM1 ",0.152561843582749,0.259244053537122,0.0445077276826141,0.0750041278126268,0.101496626824392,0.20642991734137,0.356777843292827,-0.764916714672915,"NS",0.993548391010831
"ADRO","NADPH:adrenodoxin oxidoreductase, mitochondrial ",0.0388169957161482,0.0565796093750768,0.0104092408225818,0.00919325582996727,0.0910848288644754,0.196832102057031,0.340189705867926,-0.543593753008591,"NS",1.04055395331376
"ADT1","ADP/ATP translocase 1 ",2.8092102300642,4.19901810588605,0.477206492350027,0.531064929649836,0.028002578072453,0.126909842620142,0.21934136546579,-0.57988741495689,"Down",1.55280198326141
"ADT2","ADP/ATP translocase 2 ",2.53783327376209,4.72519109383709,0.518843951022203,0.79592323461223,0.0162976301629715,0.104130652284195,0.17997153717401,-0.89677538269522,"Down",1.78787554172913
"AEDO","2-aminoethanethiol dioxygenase ",0.113609659053575,0.103447909253519,0.00915226335432596,0.0159847314684723,0.393411563820539,0.365230898105205,0.631237437906791,0.135181009756103,"NS",0.405152878708395
"AFAD","Afadin ",0.051989183036245,0.0495985810068163,0.0167868522459766,0.0064794555241505,0.829292833233916,0.527440193168342,0.911587704961215,0.0679126383846685,"NS",0.0812920877834964
"AFG2H","ATPase family protein 2 homolog ",0.00511675611888184,0.00535057458369218,0.00286186325781467,0.00317332259333398,0.929052684895945,0.561533017282481,0.970511161482729,-0.064464355457732,"NS",0.0319596572541376
"AFG31","AFG3-like protein 1 ",0.0132236999428403,0.020418026083232,0.01199737811161,0.000323845539299792,0.357787435320325,0.351673118045601,0.6078051971163,-0.626717506005363,"NS",0.44637491493372
"AFG32","AFG3-like protein 2 ",0.119168640522926,0.111717470315865,0.0150258491097753,0.0312121363132423,0.728374311973943,0.495662726439064,0.856665936881286,0.0931498262142891,"NS",0.137645379138363
"AG10B","Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase ",0.0413620959891626,0.0688933297658133,0.00878031137294628,0.0180269770250128,0.076143030764942,0.187207597455335,0.323555440647171,-0.736055013480346,"NS",1.11836984070402
"AGAL","Alpha-galactosidase A ",0.0797952378973089,0.054252277092494,0.00790836441340531,0.00680958473402267,0.0132711286323305,0.0978575852521771,0.169129642959551,0.556618958323172,"Up",1.8770921413443
"AGFG1","Arf-GAP domain and FG repeat-containing protein 1 ",0.0990803521316176,0.0955544163229905,0.0110253440232372,0.00972721332204656,0.699188431132723,0.483201637649767,0.835129134267672,0.0522764428756186,"NS",0.155405766210018
"AGK","Acylglycerol kinase, mitochondrial ",0.0797313234354734,0.0629115582505765,0.0236147984338121,0.0276299753761221,0.467738579837923,0.399441712754345,0.690364820337636,0.34182151957081,"NS",0.32999680729972
"AGM1","Phosphoacetylglucosamine mutase ",0.051602600490652,0.0707689176951868,0.00543669609228159,0.00886785336783988,0.0331691811863103,0.134865280994808,0.233090942960746,-0.455672084132214,"Down",1.47926524933238
"AGO2","Protein argonaute-2 ",0.117078419286407,0.159630879523355,0.0503697908801501,0.0771621134038781,0.468609932012097,0.399441712754345,0.690364820337636,-0.44726458554091,"NS",0.329188510932532
"AGRE5","Adhesion G protein-coupled receptor E5 ",0.283004804873004,0.350528079942501,0.0300691224063026,0.0508865624840239,0.118979743578391,0.223796069836959,0.386792186724571,-0.308703472186849,"NS",0.924526971388611
"AGRV1","Adhesion G-protein coupled receptor V1 ",0.247293974027341,0.112022735033916,0.0051055260441822,0.0346832433688796,0.0026061214743589,0.0719229330737184,0.124306153273807,1.14243552785798,"Up",2.58400534517975
"AHSA1","Activator of 90 kDa heat shock protein ATPase homolog 1 ",0.18226701537177,0.373934215682538,0.0509878859468871,0.0320868729475081,0.00529139638984154,0.0843175574098024,0.145728083757555,-1.03673098421481,"Down",2.27642970331908
"AHSA2","Activator of 90 kDa heat shock protein ATPase homolog 2 ",0.0508762776043427,0.0694830651080515,0.0479288502648184,0.0538449341015862,0.677962075495286,0.47527732486422,0.821433351884881,-0.449668278320977,"NS",0.168794599442356
"AIF1L","Allograft inflammatory factor 1-like ",0.666581965699803,0.423509529910361,0.0424993737695354,0.073616416780136,0.00774513922152874,0.0860042992311331,0.14864332064258,0.654387852240384,"Up",2.11097077124264
"AIFM1","Apoptosis-inducing factor 1, mitochondrial ",0.535704799301237,0.494175891977022,0.0476157887227104,0.152859782161792,0.676503823379699,0.47509848875731,0.821124265094807,0.116413589488593,"NS",0.169729744568187
"AIMP1","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 ",0.49971046366902,0.756429012330009,0.167873466681864,0.16317667040842,0.130342855394115,0.233826689597112,0.404128350644067,-0.598112270304184,"NS",0.884912769236347
"AIMP2","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 ",0.236052526685355,0.387106768209948,0.0608133670369625,0.0422558122291127,0.0241636986078795,0.120570134822699,0.208384294396783,-0.71362360655747,"Down",1.61683658983345
"AIP","AH receptor-interacting protein ",0.23619066810475,0.173855488117836,0.0545508116649083,0.0669544607470945,0.279389921851848,0.319416794680329,0.552055809474069,0.442063355449779,"NS",0.553789263801904
"AK1A1","Aldo-keto reductase family 1 member A1 ",0.999440311121552,1.19576499223995,0.219223153112407,0.0720927068209311,0.214616682677377,0.284820421318877,0.492262056549969,-0.258741566049523,"NS",0.668336522290256
"AKAP1","A-kinase anchor protein 1, mitochondrial ",0.0402529583755488,0.0517823746095,0.0146357923859853,0.00264228380488739,0.250494367427167,0.302519561308375,0.522851910360493,-0.363366307686398,"NS",0.601202035157225
"AKAP2","A-kinase anchor protein 2 ",0.151491235156198,0.14539607193451,0.0152611792316604,0.0259964757324106,0.743843299067616,0.501608385266685,0.866941963538633,0.0592460324729086,"NS",0.128518544989118
"AKAP8","A-kinase anchor protein 8 ",0.0733764573455793,0.0658278521321029,0.00462277455102029,0.0123901192268877,0.378793231191787,0.360244578619504,0.622619460750237,0.156619126717914,"NS",0.421597790181755
"AKP13","A-kinase anchor protein 13 ",0.0584509614504775,0.0623890783889504,0.0221747372421265,0.0108439020993362,0.795983565886134,0.517785548929471,0.894901348673004,-0.0940667424962245,"NS",0.0990958987430414
"AKT1","RAC-alpha serine/threonine-protein kinase ",0.0014951308787594,0.00745981430248571,0.000944182411437354,0.0105643870182617,0.385192080184861,0.362812277447372,0.627057277040777,-2.31886793919826,"NS",0.41432265085013
"AKT2","RAC-beta serine/threonine-protein kinase ",0.0394516207680228,0.0433779447637018,0.0095127039841958,0.0023047781411595,0.525430986977197,0.419616696365562,0.725233734853426,-0.136877129236407,"NS",0.279484318538193
"AL1L2","Mitochondrial 10-formyltetrahydrofolate dehydrogenase ",0.0856399088247856,0.130884551264557,0.0102391680974329,0.0115167355202239,0.00705447097099318,0.0855514225711133,0.14786060290418,-0.611939656382437,"Down",2.15153554930766
"AL3A1","Aldehyde dehydrogenase, dimeric NADP-preferring ",0.521032581578398,0.431234236057412,0.100191431831289,0.0189716618498066,0.20188118688174,0.278582901119611,0.4814815987905,0.272901871513557,"NS",0.694904150665739
